dt;Posicion;V Eul-Simpl;Energia
0,00;12,50;0,88;0,00
0,01;12,50;1,75;0,00
0,02;12,50;2,61;0,00
0,03;12,49;3,46;0,00
0,04;12,49;4,30;0,00
0,05;12,49;5,13;0,00
0,06;12,48;5,94;0,00
0,07;12,48;6,74;0,00
0,08;12,48;7,51;0,00
0,09;12,47;8,27;0,00
0,10;12,47;9,00;0,00
0,11;12,46;9,70;208,41
0,12;12,46;10,37;208,41
0,13;12,46;11,01;207,77
0,14;12,46;11,62;207,77
0,15;12,46;12,20;206,85
0,16;12,46;12,73;206,28
0,17;12,46;13,24;206,28
0,18;12,46;13,70;204,93
0,19;12,47;14,12;204,17
0,20;12,47;14,49;204,17
0,21;12,48;14,83;202,46
0,22;12,49;15,12;201,53
0,23;12,50;15,37;201,53
0,24;12,51;15,57;199,55
0,25;12,52;15,72;198,50
0,26;12,54;15,83;197,43
0,27;12,56;15,89;197,43
0,28;12,57;15,91;195,24
0,29;12,59;15,88;194,12
0,30;12,61;15,80;194,12
0,31;12,64;15,67;191,91
0,32;12,66;15,50;190,82
0,33;12,68;15,28;190,82
0,34;12,70;15,02;188,71
0,35;12,73;14,72;188,71
0,36;12,75;14,37;186,74
0,37;12,77;13,99;186,74
0,38;12,80;13,56;184,94
0,39;12,82;13,10;184,12
0,40;12,84;12,59;183,36
0,41;12,86;12,06;183,36
0,42;12,88;11,49;182,04
0,43;12,89;10,90;182,04
0,44;12,91;10,28;180,99
0,45;12,92;9,63;180,57
0,46;12,92;8,97;180,57
0,47;12,93;8,29;179,96
0,48;12,93;7,60;179,96
0,49;12,93;6,91;179,64
0,50;12,93;6,22;179,59
0,51;12,92;5,56;179,59
0,52;12,91;4,92;179,69
0,53;12,89;4,35;179,84
0,54;12,87;3,87;179,84
0,55;12,85;3,53;180,30
0,56;12,82;3,37;180,60
0,57;12,78;3,42;180,60
0,58;12,75;3,67;181,32
0,59;12,71;4,07;181,73
0,60;12,66;4,59;181,73
0,61;12,61;5,18;182,58
0,62;12,56;5,81;182,58
0,63;12,51;6,47;183,45
0,64;12,45;7,14;183,45
0,65;12,38;7,81;184,32
0,66;12,32;8,48;184,32
0,67;12,25;9,13;185,14
0,68;12,17;9,77;185,53
0,69;12,10;10,38;185,53
0,70;12,02;10,98;186,26
0,71;11,94;11,54;186,26
0,72;11,86;12,08;186,90
0,73;11,78;12,59;186,90
0,74;11,69;13,07;187,44
0,75;11,61;13,51;187,68
0,76;11,52;13,91;187,68
0,77;11,44;14,28;188,08
0,78;11,35;14,61;188,25
0,79;11,26;14,90;188,40
0,80;11,18;15,15;188,53
0,81;11,09;15,35;188,64
0,82;11,00;15,52;188,64
0,83;10,92;15,64;188,84
0,84;10,84;15,72;188,84
0,85;10,76;15,76;188,84
0,86;10,68;15,75;189,08
0,87;10,60;15,71;189,16
0,88;10,52;15,62;189,24
0,89;10,45;15,48;189,24
0,90;10,38;15,31;189,43
0,91;10,31;15,10;189,43
0,92;10,24;14,85;189,68
0,93;10,18;14,55;189,68
0,94;10,11;14,23;189,99
0,95;10,05;13,86;189,99
0,96;9,99;13,46;190,40
0,97;9,93;13,04;190,40
0,98;9,88;12,58;190,90
0,99;9,82;12,09;190,90
1,00;9,77;11,58;191,52
1,01;9,72;11,04;191,52
1,02;9,67;10,49;192,23
1,03;9,62;9,92;192,63
1,04;9,57;9,34;192,63
1,05;9,52;8,75;193,49
1,06;9,48;8,17;193,49
1,07;9,43;7,59;194,43
1,08;9,38;7,02;194,92
1,09;9,34;6,49;194,92
1,10;9,29;5,99;195,92
1,11;9,24;5,55;195,92
1,12;9,20;5,18;196,93
1,13;9,15;4,91;197,43
1,14;9,10;4,75;197,91
1,15;9,06;4,71;197,91
1,16;9,01;4,80;198,81
1,17;8,96;5,01;198,81
1,18;8,91;5,31;199,60
1,19;8,87;5,70;199,60
1,20;8,82;6,14;200,22
1,21;8,77;6,62;200,46
1,22;8,72;7,13;200,46
1,23;8,68;7,65;200,79
1,24;8,63;8,18;200,79
1,25;8,59;8,72;200,90
1,26;8,54;9,24;200,90
1,27;8,50;9,75;200,77
1,28;8,46;10,25;200,61
1,29;8,42;10,73;200,61
1,30;8,39;11,19;200,12
1,31;8,35;11,62;200,12
1,32;8,32;12,03;199,41
1,33;8,29;12,41;199,41
1,34;8,26;12,76;198,47
1,35;8,24;13,08;197,92
1,36;8,22;13,36;197,92
1,37;8,20;13,61;196,70
1,38;8,19;13,83;196,70
1,39;8,18;14,01;195,31
1,40;8,17;14,15;195,31
1,41;8,17;14,26;193,80
1,42;8,17;14,33;193,80
1,43;8,18;14,36;192,19
1,44;8,19;14,36;192,19
1,45;8,20;14,31;190,52
1,46;8,22;14,23;190,52
1,47;8,24;14,12;188,84
1,48;8,26;13,96;188,84
1,49;8,28;13,77;187,17
1,50;8,31;13,55;187,17
1,51;8,34;13,28;185,56
1,52;8,37;12,99;184,78
1,53;8,41;12,66;184,78
1,54;8,45;12,30;183,31
1,55;8,48;11,90;183,31
1,56;8,52;11,48;181,96
1,57;8,56;11,03;181,96
1,58;8,60;10,55;180,77
1,59;8,64;10,04;180,77
1,60;8,68;9,51;179,74
1,61;8,72;8,95;179,29
1,62;8,75;8,37;179,29
1,63;8,79;7,78;178,54
1,64;8,83;7,16;178,54
1,65;8,86;6,53;177,97
1,66;8,89;5,88;177,97
1,67;8,92;5,23;177,60
1,68;8,95;4,56;177,60
1,69;8,97;3,90;177,40
1,70;9,00;3,24;177,37
1,71;9,02;2,59;177,37
1,72;9,03;1,99;177,42
1,73;9,05;1,50;177,42
1,74;9,06;1,26;177,62
1,75;9,07;1,39;177,77
1,76;9,08;1,82;177,77
1,77;9,08;2,38;178,10
1,78;9,08;2,99;178,10
1,79;9,08;3,63;178,46
1,80;9,08;4,27;178,46
1,81;9,07;4,92;178,81
1,82;9,06;5,56;178,99
1,83;9,05;6,19;178,99
1,84;9,04;6,81;179,30
1,85;9,03;7,41;179,30
1,86;9,02;8,00;179,57
1,87;9,00;8,57;179,57
1,88;8,98;9,12;179,77
1,89;8,97;9,65;179,85
1,90;8,95;10,16;179,91
1,91;8,94;10,64;179,91
1,92;8,92;11,10;179,96
1,93;8,90;11,52;179,96
1,94;8,89;11,92;179,93
1,95;8,87;12,29;179,93
1,96;8,86;12,63;179,82
1,97;8,85;12,94;179,73
1,98;8,84;13,22;179,73
1,99;8,84;13,46;179,49
2,00;8,83;13,66;179,49
2,01;8,83;13,84;179,19
2,02;8,83;13,97;179,02
2,03;8,83;14,07;179,02
2,04;8,84;14,14;178,64
2,05;8,85;14,17;178,64
2,06;8,86;14,16;178,23
2,07;8,87;14,11;178,03
2,08;8,89;14,03;177,81
2,09;8,91;13,92;177,81
2,10;8,93;13,77;177,40
2,11;8,96;13,58;177,40
2,12;8,99;13,36;177,01
2,13;9,02;13,11;177,01
2,14;9,06;12,82;176,67
2,15;9,09;12,50;176,67
2,16;9,13;12,16;176,67
2,17;9,17;11,78;176,26
2,18;9,22;11,38;176,16
2,19;9,26;10,96;176,16
2,20;9,31;10,52;176,01
2,21;9,36;10,05;176,01
2,22;9,40;9,58;175,94
2,23;9,45;9,09;175,93
2,24;9,50;8,59;175,94
2,25;9,55;8,09;175,94
2,26;9,60;7,59;176,01
2,27;9,66;7,11;176,01
2,28;9,71;6,65;176,13
2,29;9,76;6,21;176,20
2,30;9,81;5,82;176,27
2,31;9,86;5,49;176,27
2,32;9,91;5,23;176,42
2,33;9,96;5,06;176,48
2,34;10,01;4,98;176,48
2,35;10,06;5,01;176,58
2,36;10,11;5,14;176,58
2,37;10,16;5,35;176,58
2,38;10,21;5,65;176,54
2,39;10,25;6,01;176,54
2,40;10,30;6,41;176,35
2,41;10,35;6,85;176,35
2,42;10,40;7,31;176,00
2,43;10,45;7,79;176,00
2,44;10,50;8,28;175,46
2,45;10,54;8,76;175,46
2,46;10,59;9,24;174,72
2,47;10,64;9,71;174,27
2,48;10,69;10,16;173,76
2,49;10,75;10,60;173,76
2,50;10,80;11,02;172,60
2,51;10,85;11,41;172,60
2,52;10,91;11,78;171,23
2,53;10,96;12,12;170,47
2,54;11,02;12,43;170,47
2,55;11,08;12,71;168,83
2,56;11,14;12,96;168,83
2,57;11,20;13,17;167,02
2,58;11,26;13,35;167,02
2,59;11,32;13,50;165,08
2,60;11,38;13,60;164,07
2,61;11,45;13,68;164,07
2,62;11,51;13,71;162,00
2,63;11,58;13,70;160,94
2,64;11,65;13,66;160,94
2,65;11,72;13,58;158,82
2,66;11,79;13,46;158,82
2,67;11,85;13,31;156,72
2,68;11,92;13,12;156,72
2,69;11,99;12,89;154,68
2,70;12,06;12,62;154,68
2,71;12,13;12,32;152,74
2,72;12,20;11,98;152,74
2,73;12,26;11,61;150,93
2,74;12,33;11,21;150,93
2,75;12,39;10,78;149,28
2,76;12,45;10,32;149,28
2,77;12,51;9,83;147,83
2,78;12,57;9,31;147,83
2,79;12,63;8,77;146,58
2,80;12,68;8,21;146,04
2,81;12,73;7,62;146,04
2,82;12,78;7,02;145,13
2,83;12,83;6,41;145,13
2,84;12,87;5,78;144,45
2,85;12,91;5,15;144,20
2,86;12,95;4,52;144,00
2,87;12,98;3,89;144,00
2,88;13,01;3,29;143,77
2,89;13,04;2,74;143,73
2,90;13,06;2,27;143,73
2,91;13,08;1,97;143,73
2,92;13,09;1,89;143,87
2,93;13,11;2,08;143,99
2,94;13,11;2,46;143,99
2,95;13,12;2,95;144,29
2,96;13,12;3,51;144,46
2,97;13,12;4,09;144,46
2,98;13,12;4,69;144,82
2,99;13,11;5,29;145,01
3,00;13,10;5,88;145,01
3,01;13,09;6,47;145,38
3,02;13,07;7,04;145,55
3,03;13,05;7,60;145,72
3,04;13,03;8,13;145,72
3,05;13,01;8,64;146,02
3,06;12,99;9,13;146,02
3,07;12,96;9,60;146,28
3,08;12,94;10,03;146,28
3,09;12,91;10,44;146,48
3,10;12,88;10,82;146,48
3,11;12,85;11,16;146,63
3,12;12,82;11,48;146,63
3,13;12,79;11,75;146,63
3,14;12,76;12,00;146,74
3,15;12,73;12,21;146,76
3,16;12,70;12,38;146,77
3,17;12,67;12,51;146,77
3,18;12,63;12,61;146,76
3,19;12,60;12,67;146,75
3,20;12,57;12,70;146,75
3,21;12,55;12,68;146,74
3,22;12,52;12,63;146,73
3,23;12,49;12,54;146,73
3,24;12,46;12,41;146,73
3,25;12,44;12,25;146,75
3,26;12,41;12,05;146,75
3,27;12,39;11,81;146,82
3,28;12,36;11,54;146,87
3,29;12,34;11,24;146,87
3,30;12,32;10,90;147,03
3,31;12,30;10,53;147,03
3,32;12,28;10,13;147,27
3,33;12,26;9,70;147,27
3,34;12,24;9,24;147,59
3,35;12,22;8,76;147,78
3,36;12,20;8,25;147,78
3,37;12,19;7,72;148,22
3,38;12,17;7,17;148,22